Domain,Type,Name
icloud.com,Personal,iCloud
mac.com,Personal,MobileMe - mac.com
me.com,Personal,MobileMe - me.com
gmail.com,Other,Gmail
googlemail.com,Other,Gmail
qq.com,Personal,QQ
foxmail.com,Other,Foxmail
126.com,Personal,126
163.com,Personal,163
yeah.net,Personal,yeah.net
tom.com,Personal,TOM.com
sina.com,Personal,Sina.com
